HALTER_ID,ALTER,GESCHLECHT,STADTKREIS,STADTQUARTIER,RASSE1,RASSE1_MISCHLING,RASSE2,RASSE2_MISCHLING,RASSENTYP,GEBURTSJAHR_HUND,GESCHLECHT_HUND,HUNDEFARBE
89631,"41-50","w",10,"101","Galgo Español",,,,"I",2011,"m","schwarz/weiss"
89631,"41-50","w",10,"101","Whippet",,,,"I",2007,"w","weiss/braun"
89632,"31-40","m",11,"119","Parson Russell Terrier",,,,"K",2007,"m","rot/braun/weiss"
89633,"51-60","w",7,"74","Lakeland Terrier",,,,"K",2007,"m","rot"
89644,"31-40","w",3,"31","Australian Shepherd","Mischling",,,"I",2006,"w","schwarz/grau/weiss"
89645,"31-40","m",6,"61","Labrador Retriever","Mischling",,,"I",2007,"m","schwarz"
89648,"41-50","w",3,"33","Labrador Retriever",,,,"I",2007,"w","schwarz"
89650,"41-50","m",8,"82","Dachshund",,,,"K",2006,"w","schwarz/rot"
89651,"31-40","w",9,"91","Chihuahua",,,,"K",2004,"w","braun"
89657,"41-50","m",11,"115","Labrador Retriever",,,,"I",2013,"m","grau"
89658,"31-40","w",12,"123","Deutscher Schäfer",,,,"I",2006,"w","grau"
89661,"51-60","m",3,"31","Belgischer Schäfer",,,,"I",2006,"w","fauve"
89664,"31-40","m",4,"42","Chihuahua",,,,"K",2006,"w","braun"
89666,"41-50","w",3,"33","Mops",,,,"K",2003,"m","beige"
89667,"51-60","w",4,"42","Chihuahua",,,,"K",2006,"m","braun"
89670,"41-50","w",6,"63","Foxterrier",,"Jack Russel Terrier",,"K",2009,"w","braun/weiss"
89674,"51-60","w",6,"63","Jack Russel Terrier",,"Mops",,"K",2011,"w","hellbraun"
89677,"51-60","m",3,"31","Jack Russel Terrier",,,,"K",2013,"m","weiss/braun"
89677,"51-60","m",3,"31","Jack Russel Terrier",,,,"K",2010,"w","weiss/beige"
89679,"81-90","w",7,"72","Pudel",,,,"K",2015,"m","rot"
89680,"61-70","w",11,"115","Malteser",,,,"K",2013,"w","weiss"
89683,"51-60","m",11,"119","Malteser",,"Pekingese",,"K",2005,"m","braun/weiss"
89685,"31-40","w",9,"91","Chihuahua",,,,"K",2006,"w","schwarz"
89685,"31-40","w",9,"91","Chihuahua",,,,"K",2010,"m","silber"
89691,"61-70","w",10,"101","Chihuahua",,,,"K",2004,"m","beige"
89703,"51-60","m",8,"81","Mischling gross",,,,"I",2016,"w","beige/braun"
89704,"41-50","w",10,"101","Chihuahua",,,,"K",2004,"m","schwarz/weiss"
89704,"41-50","w",10,"101","Chihuahua",,,,"K",2008,"w","schwarz/weiss"
89705,"51-60","w",10,"101","Shetland Sheepdog",,,,"K",2007,"w","tricolor"
89707,"51-60","w",12,"121","Chihuahua",,,,"K",2011,"w","hellbraun"
89707,"51-60","w",12,"121","Chihuahua",,,,"K",2006,"m","tricolor"
89709,"51-60","w",9,"92","Chihuahua","Mischling",,,"K",2004,"w","tricolor"
89710,"41-50","m",9,"92","Golden Retriever",,"Labrador Retriever",,"I",2006,"m","beige"
89712,"51-60","w",7,"74","Manchester Terrier",,,,"K",2012,"m","schwarz/braun"
89717,"31-40","w",9,"91","Münsterländer","Mischling",,,"I",2004,"w","weiss/braun"
89722,"31-40","m",2,"24","Rhodesian Ridgeback",,,,"I",2007,"m","braun"
89726,"31-40","m",2,"21","Schäfer",,"Schnauzer",,"I",2007,"m","schwarz/braun"
89733,"81-90","m",8,"82","Jack Russel Terrier",,,,"K",2007,"m","schwarz/weiss/braun"
89736,"71-80","m",11,"111","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
89737,"61-70","w",2,"23","Golden Retriever",,,,"I",2011,"w","golden"
89739,"51-60","m",10,"101","Kromfohrländer",,,,"I",2007,"m","weiss/braun"
89747,"51-60","m",11,"115","Beagle",,,,"K",2003,"w","tricolor"
89752,"41-50","m",12,"122","Parson Russell Terrier",,,,"K",2007,"w","weiss"
89752,"41-50","m",12,"122","Vizsla",,,,"I",2008,"m","rot"
89753,"31-40","w",7,"74","Deutscher Schäfer",,,,"I",2006,"m","gelb/schwarz"
89756,"41-50","m",11,"111","Border Collie",,,,"I",2016,"w","braun/weiss"
89757,"51-60","w",6,"61","Mischling klein",,,,"K",2006,"w","weiss"
89758,"51-60","m",2,"23","Mischling klein",,,,"K",2006,"w","schwarz/grau/weiss"
89760,"71-80","w",3,"33","Papillon",,,,"K",2004,"w","tricolor"
89766,"41-50","m",9,"92","Französische Bulldogge",,,,"K",2013,"w","beige"
89774,"41-50","w",3,"31","Parson Jack Russell Terrier",,,,"K",2004,"m","weiss/rot"
89778,"41-50","w",10,"101","Berger des Pyrenées",,,,"I",2007,"m","gestromt"
89779,"71-80","m",7,"74","Mischling klein",,,,"K",2006,"m","weiss/creme"
90013,"61-70","m",3,"33","Altdeutscher Schäfer",,,,"I",2007,"w","grau"
90047,"41-50","m",9,"91","Mischling gross",,,,"I",2010,"w","schwarz/weiss"
90050,"51-60","w",6,"61","Schäfer","Mischling",,,"I",2006,"w","schwarz/braun"
90050,"51-60","w",6,"61","Mischling klein",,,,"K",2007,"m","braun/schwarz"
90050,"51-60","w",6,"61","Jack Russel Terrier",,,,"K",2008,"w","tricolor"
90059,"51-60","m",10,"101","Nova Scotia Duck Tolling Retriever",,,,"I",2007,"w","rot/weiss"
90077,"61-70","m",8,"81","Foxterrier",,,,"K",2010,"w","tricolor"
90083,"61-70","w",8,"83","Langhaardackel",,,,"K",2006,"m","schwarz/rot"
90087,"71-80","m",7,"74","Zwergschnauzer",,,,"K",2016,"w","schwarz"
90122,"51-60","w",12,"122","Rottweiler",,,,"I",2015,"w","schwarz/braun"
90181,"61-70","w",9,"91","Mischling gross",,,,"I",2015,"w","schwarz/braun"
90191,"41-50","w",11,"119","Labrador Retriever",,,,"I",2006,"w","beige"
90259,"31-40","m",3,"34","Cocker Spaniel",,,,"K",2007,"m","braun"
90293,"41-50","w",2,"24","West Highland White Terrier",,,,"K",2009,"w","weiss"
90305,"51-60","m",2,"21","Norfolk Terrier",,,,"K",2010,"w","rot"
90319,"51-60","w",4,"44","Belgischer Schäfer","Mischling",,,"I",2006,"m","schwarz"
90324,"71-80","w",3,"34","Sheltie",,,,"K",2007,"w","tricolor"
90328,"31-40","w",3,"34","Französische Bulldogge",,,,"K",2006,"w","braun schwarz gestromt"
90344,,"m",,,"Shih Tzu",,,,"K",1998,"w","schwarz"
90352,"51-60","w",9,"92","Australian Shepherd",,,,"I",2007,"w","blue merle/weiss"
90352,"51-60","w",9,"92","Cavalier King Charles Spaniel",,,,"K",2013,"w","braun/weiss"
90357,"61-70","w",7,"74","Bergamasker",,,,"I",2007,"w","grau/schwarz"
90359,"51-60","w",2,"21","Mischling klein",,,,"K",2007,"m","braun/weiss"
90360,"31-40","w",3,"33","Yorkshire Terrier","Mischling",,,"K",2012,"w","schwarz Marken"
90361,"51-60","w",9,"91","Weimaraner",,,,"I",2007,"m","silbergrau"
90363,"71-80","w",6,"63","Malteser",,,,"K",2006,"m","weiss"
90377,"51-60","w",7,"72","Tibetan Spaniel",,,,"K",2007,"m","sable"
90381,"51-60","w",10,"101","Zwergpinscher",,,,"K",2007,"m","rot"
90423,"31-40","w",3,"33","Rauhaar Dackel",,,,"K",2007,"w","braun"
90427,"61-70","w",11,"111","Labrador Retriever",,"Appenzeller",,"I",2004,"w","braun/weiss"
90430,"51-60","w",7,"72","Bichon Havanais",,,,"K",2007,"m","beige"
90438,"71-80","w",2,"24","Norfolk Terrier",,,,"K",2003,"w","rot"
90442,"51-60","w",3,"31","Border Collie",,,,"I",2007,"m","tricolor"
90455,"41-50","m",4,"42","Windhund","Mischling",,,"I",2006,"m","schwarz/braun"
90458,"61-70","w",3,"34","Labradoodle",,,,"I",2017,"w","braun/beige"
90461,"51-60","w",9,"92","Norwich Terrier",,,,"K",2007,"w","black/tan"
90469,"71-80","m",7,"72","Briard",,,,"I",2007,"m","schwarz"
90477,"51-60","m",11,"111","Appenzeller",,"Schäfer",,"I",2007,"m","tricolor"
90477,"51-60","m",11,"111","Appenzeller",,"Schäfer",,"I",2007,"m","beige/weiss"
90487,"61-70","w",6,"61","Havaneser",,,,"K",2006,"w","zobel beige"
90503,"61-70","m",2,"21","Bordeaux Dogge",,,,"I",2014,"m","rot"
90512,"41-50","w",2,"24","Deutsche Dogge",,,,"I",2013,"m","blau"
90519,"71-80","m",7,"71","Berner Sennenhund",,"Border Collie",,"I",2007,"m","tricolor"
90521,"61-70","m",11,"111","Golden Retriever",,,,"I",2007,"w","blondfarben"
90531,"71-80","w",9,"92","Chihuahua",,,,"K",2004,"m","braun"
90553,"21-30","w",3,"34","Mischling klein",,,,"K",2007,"w","braun/schwarz"
90565,"51-60","w",3,"31","Bichon frisé",,,,"K",2007,"m","weiss"
90574,"61-70","m",4,"41","Kaninchen-Dachshund",,,,"K",2007,"w","schwarz/rot"
90579,"71-80","w",11,"111","Bolonka Zwetna",,,,"K",2014,"w","schwarz lohfarbig"
90583,"71-80","m",10,"101","Tibet Terrier",,,,"K",2006,"m","schwarz/weiss"
90591,"51-60","m",2,"21","Lagotto Romagnolo",,,,"I",2007,"w","weiss/orange"
90599,"51-60","m",12,"122","Sheltie",,,,"K",2007,"w","zobel"
90602,"41-50","w",10,"102","Border Terrier",,,,"K",2007,"m","grau/braun"
90619,"51-60","w",9,"91","Mischling klein",,,,"K",2014,"m","schwarz"
90624,"41-50","w",8,"83","Pointer","Mischling",,,"I",2013,"m","schwarz/weiss"
90634,"51-60","w",4,"42","Lagotto Romagnolo",,,,"I",2007,"m","braun"
90651,"61-70","m",7,"71","Mischling klein",,,,"K",2007,"w","sandfarbig"
90654,"31-40","w",11,"115","Mischling klein",,,,"K",2007,"m","schwarz/braun"
90682,"81-90","m",3,"34","Lagotto Romagnolo",,,,"I",2007,"w","beige/weiss"
90683,"51-60","m",4,"44","Mischling klein",,,,"K",2004,"m","braun"
90695,"51-60","w",9,"92","Mischling klein",,,,"K",2007,"m","tricolor"
90714,"51-60","w",2,"21","Zwergpinscher",,,,"K",2012,"w","schwarz/braun"
90745,"51-60","w",7,"74","Beagle",,,,"K",2007,"m","tricolor"
90772,"51-60","w",11,"119","Border Terrier",,,,"K",2017,"m","red grizzle"
90772,"51-60","w",11,"119","Border Terrier",,,,"K",2007,"w","red grizzle"
90800,"41-50","w",10,"101","Kleinspitz",,,,"K",2005,"m","schwarz"
90854,"41-50","w",9,"92","Parson Russell Terrier",,,,"K",2007,"w","tricolor"
90889,"41-50","w",12,"122","Mops",,"Boston Terrier",,"K",2004,"w","beige/weiss"
90889,"41-50","w",12,"122","Staffordshire Bull Terrier",,,,"II",2009,"m","schwarz gestromt"
90894,"31-40","w",10,"101","Border Collie","Mischling",,,"I",2005,"w","schwarz/weiss"
90895,"41-50","m",9,"92","Golden Retriever",,"Labrador Retriever",,"I",2006,"w","schwarz"
90913,"41-50","w",11,"119","Terrier","Mischling",,,"K",2011,"m","tricolor"
90914,"41-50","w",7,"74","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
90921,"71-80","w",10,"101","Belgischer Schäfer",,,,"I",2007,"w","fauve"
90924,"31-40","m",3,"34","Mischling klein",,"Schäfer",,"I",2005,"m","braun/schwarz"
90951,"41-50","m",11,"119","Labrador Retriever",,,,"I",2012,"m","beige"
90954,"31-40","w",11,"111","Australian Shepherd",,,,"I",2006,"w","blue/merle"
90974,"51-60","w",3,"34","Cavalier King Charles Spaniel",,,,"K",2007,"m","braun"
90974,"51-60","w",3,"34","Spaniel","Mischling",,,"K",2007,"w","tricolor"
90990,"81-90","w",7,"74","Cairn Terrier",,,,"K",2004,"m","red-brindle"
90999,"31-40","m",3,"31","Podenco",,,,"I",2008,"w","braun/rot"
91015,"51-60","w",8,"81","Zwergrauhaardackel",,,,"K",2007,"w","saufarben"
91015,"51-60","w",8,"81","Zwergdachshund",,,,"K",2016,"w","schwarz/rot"
91016,"61-70","w",3,"34","Jack Russel Terrier",,,,"K",2007,"m","tricolor"
91024,"71-80","w",12,"121","Appenzeller","Mischling",,,"I",2007,"w","tricolor"
91051,"51-60","w",8,"81","Collie",,,,"I",2009,"w","tricolor"
91084,"31-40","w",7,"71","Mischling klein",,,,"K",2004,"m","schwarz/braun"
91140,"61-70","w",4,"44","Yorkshire Terrier",,,,"K",2007,"m","schwarz/beige"
91145,"51-60","w",10,"101","Jack Russel Terrier",,,,"K",2006,"m","tricolor"
91146,"41-50","w",11,"111","Vorstehhund","Mischling",,,"I",2005,"w","braun"
91166,"51-60","w",8,"83","Zwergdachshund",,,,"K",2015,"w","wildfarbig"
91205,"41-50","m",6,"61","Zwergschnauzer",,,,"K",2007,"w","schwarz"
91206,"41-50","w",9,"92","Continental Bulldog",,,,"I",2009,"m","rot"
91212,"31-40","m",11,"111","Mischling klein",,,,"K",2002,"m","braun/weiss"
91220,"51-60","w",7,"72","Parson Russell Terrier",,,,"K",2007,"w","weiss/rot"
91249,"61-70","w",9,"92","Deutscher Langhaarschäfer",,,,"I",2007,"w","grau"
91256,"41-50","m",9,"91","Segugio",,"Spinone",,"I",2004,"m","schwarz/braun/weiss"
91274,"51-60","m",7,"74","Daisy-Dog","Mischling",,,"K",2007,"m","weiss/beige"
91276,"41-50","m",7,"73","Golden Retriever",,,,"I",2007,"m","blondfarben"
91280,"71-80","w",11,"119","Malteser","Mischling",,,"K",2004,"m","schwarz"
91283,"41-50","w",11,"119","Yorkshire Terrier",,,,"K",2007,"m","blue/tan"
91310,"61-70","w",12,"123","Shih Tzu",,,,"K",2007,"m","weiss/rot"
91316,"61-70","w",7,"71","Beagle",,,,"K",2013,"m","tricolor"
91351,"41-50","m",7,"72","Mops",,,,"K",2009,"w","beige/schwarz"
91356,"71-80","w",2,"24","Appenzeller Sennenhund",,,,"I",2006,"m","tricolor"
91450,"81-90","w",7,"73","Berger des Pyrenées",,,,"I",2004,"m","creme"
91490,"51-60","w",3,"34","Chihuahua",,,,"K",2008,"w","weiss"
91504,"71-80","w",3,"33","Cocker Spaniel",,,,"K",2009,"m","schwarz"
91504,"71-80","w",3,"33","English Cocker Spaniel",,,,"K",2007,"m","mehrfarbig"
91671,"21-30","w",7,"71","Barbet",,,,"I",2011,"m","weiss/schwarz"
91681,"61-70","w",7,"71","Spaniel",,,,"K",2005,"m","braun/weiss"
91693,"51-60","w",11,"119","Yorkshire Terrier",,,,"K",2012,"m","schwarz/braun"
91728,"51-60","m",5,"52","Jagdhund","Mischling",,,"I",2005,"m","schwarz/braun"
91772,"51-60","m",11,"119","Flat Coated Retriever",,,,"I",2008,"m","schwarz"
91797,"31-40","w",11,"111","Golden Retriever",,,,"I",2002,"m","blondfarben"
91812,"31-40","w",12,"122","Jack Russel Terrier",,,,"K",2010,"w","tricolor"
91815,"81-90","m",8,"82","Shar Pei",,,,"I",2007,"w","schwarz"
91838,"31-40","w",7,"72","Jack Russel Terrier","Mischling",,,"K",2007,"w","weiss/schwarz"
91842,"71-80","w",9,"92","Shetland Sheepdog",,,,"K",2007,"m","blue/merle"
91888,"51-60","w",11,"115","Golden Retriever",,"Appenzeller",,"I",2003,"m","schwarz/braun/weiss"
91936,"61-70","w",2,"21","Husky",,,,"I",2008,"w","sandfarbig"
91939,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2008,"w","black/tan"
91939,"61-70","w",9,"92","Yorkshire Terrier",,,,"K",2013,"w","steelblue/tan"
91964,"51-60","w",3,"31","Labrador Retriever",,,,"I",2007,"w","beige"
91968,"71-80","w",10,"101","Basenji",,,,"K",2007,"m","rot/weiss"
92024,"51-60","m",10,"101","Briard","Mischling",,,"I",2007,"w","schwarz/weiss"
92024,"51-60","m",10,"101","Berger de Brie",,,,"I",2007,"m","fauve"
92060,"31-40","w",3,"31","Staffordshire Bull Terrier",,"Boxer",,"II",2006,"m","braun/schwarz/weiss"
92069,"51-60","m",9,"91","Foxterrier",,,,"K",2007,"w","tricolor"
92083,"71-80","w",9,"92","Toller",,,,"I",2007,"m","rot/weiss"
92094,"71-80","w",11,"115","Pumi",,,,"I",2007,"w","schwarz/grau"
92095,"31-40","w",1,"14","Belgischer Schäfer","Mischling",,,"I",2007,"w","beige"
92122,"21-30","w",10,"101","Briard",,"Berger de Brie",,"I",2007,"w","schwarz/weiss"
92158,"51-60","w",3,"34","Soft Coated Wheaten Terrier",,,,"I",2006,"w","wildfarbig"
92159,"61-70","w",7,"73","Jack Russel Terrier",,,,"K",2014,"m","braun/weiss"
92160,"41-50","w",11,"111","Galgo Español",,,,"I",2012,"w","braun gestromt"
92162,"51-60","m",6,"63","Beagle",,,,"K",2007,"m","tricolor"
92169,"51-60","w",6,"63","Australian Shepherd",,,,"I",2008,"m","blue/merle"
92229,"41-50","m",11,"111","Parson Russell Terrier",,,,"K",2007,"m","schwarz/weiss"
92229,"41-50","m",11,"111","Parson Russell Terrier",,,,"K",2007,"m","weiss"
92260,"61-70","m",7,"71","Riesenschnauzer",,,,"I",2016,"w","schwarz"
92294,"61-70","w",8,"82","Jack Russel Terrier",,,,"K",2007,"w","tricolor"
92305,"51-60","w",8,"82","Beagle",,,,"K",2007,"w","tricolor"
92310,"31-40","w",11,"111","Maremmano",,"Bergamasker",,"I",2005,"m","braun/weiss"
92317,"51-60","w",11,"119","Mischling klein",,,,"K",2004,"w","tricolor"
92328,"61-70","w",11,"119","Bergamasker",,"Appenzeller",,"I",2006,"w","braun/weiss"
92374,"21-30","m",4,"44","Tibetan Spaniel",,"Shih Tzu",,"K",2010,"m","tricolor"
92389,"41-50","m",7,"73","Havaneser",,,,"K",2008,"w","creme"
92394,"71-80","w",10,"102","Shiba Inu",,,,"K",2011,"w","schwarz/braun"
92417,"41-50","m",7,"73","Magyar Viszla",,,,"I",2016,"m","hellbraun"
92426,"61-70","w",9,"91","Holländischer Schäfer",,,,"I",2016,"w","gestromt"
92434,"31-40","w",10,"101","Labrador Retriever",,,,"I",2016,"m","braun"
92455,"31-40","m",11,"115","Malteser",,,,"K",2005,"w","weiss"
92465,"21-30","w",9,"92","Französische Bulldogge",,,,"K",2007,"m","schwarz/weiss"
92472,"51-60","w",7,"74","Irish Setter",,,,"I",2007,"w","mahagoni"
92493,"51-60","w",12,"122","Labrador Retriever",,"Golden Retriever",,"I",2005,"w","braun"
92574,"41-50","w",11,"119","Mischling klein",,,,"K",2017,"w","schwarz"
92574,"41-50","w",11,"119","Pinscher","Mischling",,,"K",2005,"w","braun/schwarz"
92574,"41-50","w",11,"119","Mischling klein",,,,"K",2017,"w","schwarz"
92574,"41-50","w",11,"119","Prager Rattler",,,,"K",2014,"w","schwarz/braun"
92575,"51-60","w",5,"52","Windhund","Mischling",,,"I",2014,"m","grau/schwarz"
92596,"41-50","w",11,"119","Mops",,,,"K",2006,"w","beige/schwarz"
92596,"41-50","w",11,"119","Mops",,,,"K",2002,"w","beige/schwarz"
92598,"51-60","w",7,"72","Lakeland Terrier",,,,"K",2007,"m","rot"
92614,"61-70","m",9,"92","Mischling klein",,,,"K",2008,"m","weiss"
92619,"61-70","m",6,"63","Labrador Retriever",,,,"I",2015,"m","sable"
92623,"61-70","m",11,"119","Epagneul Breton",,,,"I",2016,"m","weiss/orange"
92624,"71-80","w",6,"63","Border Collie",,,,"I",2005,"w","schwarz/weiss"
92628,"41-50","w",10,"101","Italienisches Windspiel",,,,"K",2008,"w","choco"
92641,"51-60","w",12,"123","Chihuahua",,,,"K",2016,"m","tricolor"
92721,"51-60","w",12,"123","Pinscher","Mischling",,,"K",2011,"m","tricolor"
92723,"71-80","w",8,"83","Havaneser",,,,"K",2008,"m","dunkelbraun"
92744,"41-50","w",12,"122","Labrador Retriever",,,,"I",2008,"m","braun"
92750,"51-60","w",11,"111","Podenco",,,,"I",2006,"m","rot/braun"
92779,"41-50","m",8,"83","Mischling klein",,,,"K",2011,"m","braun/schwarz"
92779,"41-50","m",8,"83","Mischling klein",,,,"K",2003,"m","tricolor"
92843,"31-40","m",10,"102","Deutscher Schäfer",,,,"I",2007,"m","braun/schwarz"
92844,"51-60","m",5,"52","Labrador Retriever",,,,"I",2006,"m","gelb"
92851,"51-60","w",10,"102","Jack Russel Terrier","Mischling",,,"K",2007,"w","grau/schwarz"
92864,"51-60","w",8,"81","Mops",,,,"K",2007,"m","beige"
92902,"61-70","w",10,"101","Mischling klein","Mischling",,,"K",2007,"w","beige/braun"
92936,"71-80","w",11,"111","Cairn Terrier",,,,"K",2005,"m","braun"
92944,"31-40","w",11,"115","Pudel",,,,"K",2009,"w","silber"
92974,"41-50","m",4,"41","Bergamasker","Mischling",,,"I",2008,"m","grau/braun/schwarz"
92975,"51-60","m",3,"33","Labrador Retriever",,,,"I",2011,"m","braun"
92986,"41-50","w",11,"119","Golden Retriever",,,,"I",2014,"w","golden"
92986,"41-50","w",11,"119","Entlebucher Sennenhund",,,,"I",2016,"m","tricolor"
92994,"81-90","m",8,"83","Spitz","Mischling",,,"K",2007,"m","weiss"
93008,"31-40","m",10,"101","Zwergpinscher",,,,"K",2008,"w","schwarz"
93016,"41-50","w",11,"115","Griffon","Mischling",,,"I",2012,"m","beige/braun"
93035,"71-80","w",3,"34","Mischling klein",,,,"K",2005,"w","schwarz/weiss"
93041,"31-40","w",9,"92","Französische Bulldogge",,,,"K",2014,"w","brindle"
93055,"51-60","w",11,"119","Rehpinscher",,,,"K",2008,"m","schwarz/braun"
93055,"51-60","w",11,"119","Rehpinscher",,"Zwergpinscher",,"K",2011,"w","rehbraun"
93071,"41-50","w",11,"111","Havaneser",,,,"K",2015,"w","schwarz/weiss"
93083,"41-50","m",6,"61","Labrador Retriever",,,,"I",2008,"m","blondfarben"
93089,"61-70","m",11,"111","Jack Russel Terrier",,,,"K",2008,"m","tricolor"
93091,"51-60","w",7,"72","Mischling klein",,,,"K",2008,"w","schwarz"
93125,"71-80","w",9,"91","Coton de Tulear",,,,"K",2006,"w","weiss"
93139,"51-60","m",10,"101","Sheltie",,,,"K",2008,"m","blue/merle"
93152,"51-60","w",5,"51","Belgischer Schäfer","Mischling",,,"I",2007,"m","beige/schwarz"
93164,"71-80","w",2,"24","Lagotto Romagnolo",,,,"I",2006,"m","braun/weiss"
93177,"31-40","w",7,"71","Französische Bulldogge",,,,"K",2008,"w","creme"
93202,"51-60","w",11,"119","Golden Retriever",,,,"I",2007,"w","creme"
93203,"71-80","w",3,"33","Spinone",,,,"I",2008,"w","weiss/orange"
93211,"51-60","m",7,"72","Continental Bulldog",,,,"I",2008,"m","schwarz/braun gestromt"
93233,"51-60","w",10,"102","Mischling klein",,,,"K",2007,"w","creme"
93233,"51-60","w",10,"102","Bardino",,"Malinois",,"I",2012,"m","tricolor"
93237,"51-60","w",10,"101","Mischling gross",,,,"I",2014,"m","grau/weiss"
93237,"51-60","w",10,"101","Dogo Canario",,,,"I",2015,"w","hellbraun"
93238,"51-60","w",11,"111","Chihuahua",,,,"K",2008,"m","braun"
93239,"51-60","m",9,"92","Labrador Retriever","Mischling",,,"I",2012,"m","schwarz"
93251,"41-50","m",5,"52","Beagle",,,,"K",2003,"m","tricolor"
93253,"41-50","w",2,"21","Pekingese",,,,"K",2008,"m","braun/schwarz"
93257,"31-40","w",10,"101","Labrador Retriever","Mischling",,,"I",2008,"m","braun/schwarz/grau"
93267,"31-40","w",12,"122","Deutscher Schäfer",,,,"I",2007,"m","schwarz/braun"
93270,"81-90","w",9,"91","Dackel","Mischling",,,"K",2005,"m","hellbraun"
93278,"51-60","w",8,"83","Foxterrier",,,,"K",2008,"m","tricolor"
93282,"41-50","m",6,"63","Beagle",,,,"K",2008,"m","tricolor"
93288,"51-60","w",10,"101","Cavalier King Charles Spaniel",,,,"K",2007,"m","tricolor"
93289,"41-50","w",8,"81","English Staffordshire Terrier",,,,"II",2008,"m","schwarz"
93294,"31-40","w",4,"42","Soft Coated Wheaten Terrier",,,,"I",2008,"m","weizen"
93299,"51-60","m",12,"122","Russischer Terrier",,,,"I",2014,"m","schwarz"
93302,"41-50","w",3,"31","Jack Russel Terrier",,,,"K",2009,"m","tricolor"
93307,"41-50","m",4,"42","Tschechoslowakischer Wolfshund",,,,"I",2015,"m","grau/braun/weiss"
93307,"41-50","m",4,"42","Malinois",,,,"I",2014,"w","beige"
93358,"61-70","m",9,"91","Jack Russel Terrier",,,,"K",2007,"m","tricolor"
93392,"51-60","w",2,"24","Riesenschnauzer",,,,"I",2004,"w","schwarz"
93400,"21-30","m",3,"34","Appenzeller","Mischling",,,"I",2007,"m","schwarz/weiss"
93402,"31-40","w",11,"111","Do-Khyi",,,,"I",2008,"m","schwarz/weiss/braun"
93406,"51-60","m",10,"102","Parson Russell Terrier",,,,"K",2007,"m","tricolor"
93413,"21-30","w",10,"101","Kooiker",,,,"K",2008,"m","weiss/orange"
93413,"21-30","w",10,"101","Whippet",,,,"I",2014,"m","braun/schwarz"
93421,"41-50","m",11,"115","Beagle",,,,"K",2007,"m","tricolor"
93435,"51-60","w",5,"51","Mischling klein",,,,"K",2006,"m","braun/schwarz"
93449,"71-80","w",8,"83","Zwergpudel",,,,"K",2008,"w","choco"
93463,"51-60","w",7,"74","Weimaraner",,,,"I",2007,"m","silbergrau"
93480,"61-70","m",5,"51","Chihuahua",,,,"K",2008,"w","creme"
93496,"31-40","w",11,"115","Mischling gross",,,,"I",2009,"m","braun"
93496,"31-40","w",11,"115","Beagle",,,,"K",2008,"m","tricolor"
93500,"41-50","w",9,"92","Yorkshire Terrier",,,,"K",2008,"m","grau/braun"
93508,"51-60","w",10,"101","Mischling klein",,,,"K",2008,"w","gelb"
93527,"61-70","w",9,"91","Mops",,,,"K",2008,"w","beige/schwarz"
93531,"41-50","w",3,"33","Zwergpinscher",,,,"K",2008,"m","schwarz/rot"
93540,"51-60","w",5,"51","Mops",,"Beagle",,"K",2014,"w","schwarz"
93553,"31-40","m",5,"52","Saarloos-Wolfshund",,,,"I",2008,"m","braun"
93664,"61-70","w",7,"74","Dachshund",,,,"K",2006,"w","schwarz/rot"
93664,"61-70","w",7,"74","Dachshund",,,,"K",2010,"w","schwarz/rot"
93667,"51-60","w",3,"34","Cairn Terrier",,,,"K",2010,"w","rot"
93675,"51-60","w",7,"72","Dalmatiner",,,,"I",2006,"m","weiss/schwarz"
93676,"51-60","w",9,"91","Golden Retriever",,,,"I",2008,"w","golden"
93678,"51-60","w",2,"21","West Highland White Terrier",,,,"K",2003,"m","weiss"
93707,"61-70","w",6,"61","Bolonka Zwetna",,,,"K",2015,"m","rot/braun"
93722,"71-80","w",3,"31","Foxterrier",,,,"K",2008,"m","tricolor"
93729,"51-60","m",4,"42","Lagotto Romagnolo",,,,"I",2008,"w","braun meliert"
93800,"31-40","w",6,"63","Australian Shepherd",,,,"I",2008,"m","braun"
93800,"31-40","w",6,"63","Belgischer Schäfer",,,,"I",2015,"m","schwarz"
93859,"31-40","m",12,"123","Australian Shepherd",,,,"I",2007,"m","tricolor"
93872,"31-40","w",10,"101","Schäfer",,"Englische Bulldogge",,"I",2007,"w","weiss/braun"
93900,"51-60","w",10,"101","Schnauzer","Mischling",,,"I",2008,"m","weiss/schwarz"
93904,"41-50","w",3,"34","Malteser",,"Havaneser",,"K",2010,"w","schwarz/braun"
93909,"41-50","m",7,"73","Französische Bulldogge",,,,"K",2012,"m","braun gestromt"
93909,"41-50","m",7,"73","Französische Bulldogge",,,,"K",2015,"m","weiss/schwarz"
93911,"31-40","w",2,"21","Französische Bulldogge",,,,"K",2008,"w","fauve"
93914,"71-80","w",11,"111","Mischling klein",,,,"K",2013,"w","schwarz"
93929,"61-70","w",3,"34","Mischling klein",,,,"K",2006,"w","beige/weiss"
93945,"61-70","w",12,"122","Pinscher",,"Mops",,"K",2015,"w","beige"
93945,"61-70","w",12,"122","Pinscher",,,,"K",2011,"w","braun"
